time,value
0.0,663478.5461508494
0.002,903956.2321840023
0.004,1010872.0550030369
0.006,1400424.7904505173
0.008,1733450.0237849322
0.01,1939096.4046953402
0.012,2045747.550167344
0.014,2093736.2788158103
0.016,2111711.6405284856
0.018000000000000002,2116005.8927711956
0.020000000000000004,2114764.693063918
0.022000000000000006,2111628.998242075
0.024000000000000007,2108041.7941312576
0.02600000000000001,2104484.3967803097
0.02800000000000001,2101067.53167464
0.030000000000000013,2097783.9836094086
0.032000000000000015,2094603.3747647274
0.034000000000000016,2091500.4602013691
0.03600000000000002,2088459.635990249
0.03800000000000002,2085472.6955345785
0.04000000000000002,2082535.951462561
0.04200000000000002,2079648.1305586416
0.044000000000000025,2076809.048908231
0.04600000000000003,2074018.8370284997
0.04800000000000003,2071277.5830477492
0.05000000000000003,2068585.347953797
0.05200000000000003,2065942.2384436722
0.054000000000000034,2063348.1521406092
0.056000000000000036,2060803.018831686
0.05800000000000004,2058306.7108158362
0.06000000000000004,2055859.0051283983
0.06200000000000004,2053459.668191746
0.06400000000000004,2051108.3957188027
0.06600000000000004,2048805.0110788916
0.06800000000000005,2046550.247856969
0.07000000000000005,2044345.3937354935
0.07200000000000005,2042191.369651194
0.07400000000000005,2040088.1806974448
0.07600000000000005,2038035.527189779
0.07800000000000006,2036032.9003999145
0.08000000000000006,2034079.8501140855
0.08200000000000006,2032175.7913535747
0.08400000000000006,2030320.1116414408
0.08600000000000006,2028512.2638854694
0.08800000000000006,2026751.511246672
0.09000000000000007,2025037.1643457545
0.09200000000000007,2023368.486679788
0.09400000000000007,2021744.704932854
0.09600000000000007,2020165.0158862092
0.09800000000000007,2018628.5410793058
0.10000000000000007,2017134.458250514
0.10200000000000008,2015682.1931681752
0.10400000000000008,2014274.0286673883
0.10600000000000008,2012912.2361335708
0.10800000000000008,2011597.824095469
0.11000000000000008,2010330.5256109308
0.11200000000000009,2009109.4161360648
0.11400000000000009,2007933.0931767237
0.11600000000000009,2006799.9829148932
0.11800000000000009,2005708.3160780957
0.12000000000000009,2004656.3442334116
0.1220000000000001,2003642.3842980876
0.1240000000000001,2002664.6405086068
0.12600000000000008,2001721.3775898747
0.12800000000000009,2000810.8970999639
0.1300000000000001,1999931.5272933566
0.1320000000000001,1999081.570936905
0.1340000000000001,1998259.4318234804
0.1360000000000001,1997463.47210603
0.1380000000000001,1996692.0514345353
0.1400000000000001,1995943.6424370566
0.1420000000000001,1995216.7311284777
0.1440000000000001,1994509.823241377
0.1460000000000001,1993821.3989023229
0.1480000000000001,1993150.0408775094
0.1500000000000001,1992494.3407437697
0.1520000000000001,1991852.9883840855
0.1540000000000001,1991226.5662130127
0.1560000000000001,1990616.7899199612
0.1580000000000001,1990024.7164969754
0.16000000000000011,1989450.716045269
0.16200000000000012,1988894.522012545
0.16400000000000012,1988355.5455614263
0.16600000000000012,1987835.96903739
0.16800000000000012,1987339.7249384976
0.17000000000000012,1986868.8705539152
0.17200000000000013,1986423.719532611
0.17400000000000013,1986003.1367495826
0.17600000000000013,1985605.3576458741
0.17800000000000013,1985228.412332289
0.18000000000000013,1984870.1991091599
0.18200000000000013,1984528.7205507045
0.18400000000000014,1984202.0822039435
0.18600000000000014,1983888.3865802737
0.18800000000000014,1983585.879801726
0.19000000000000014,1983292.9590223916
0.19200000000000014,1983008.022118532
0.19400000000000014,1982729.5476576698
0.19600000000000015,1982456.1261010652
0.19800000000000015,1982186.321584537
0.20000000000000015,1981918.758167941
0.20200000000000015,1981652.2028350215
0.20400000000000015,1981385.3018578836
0.20600000000000016,1981116.859725196
0.20800000000000016,1980845.6116735537
0.21000000000000016,1980570.4178703413
0.21200000000000016,1980291.2068318203
0.21400000000000016,1980011.8488438937
0.21600000000000016,1979736.1478595983
0.21800000000000017,1979466.2888865694
0.22000000000000017,1979203.2559505813
0.22200000000000017,1978947.1481988188
0.22400000000000017,1978697.7613497896
0.22600000000000017,1978454.553567796
0.22800000000000017,1978216.9953519849
0.23000000000000018,1977984.5759818233
0.23200000000000018,1977756.7546561614
0.23400000000000018,1977532.9387607793
0.23600000000000018,1977312.6702446467
0.23800000000000018,1977095.4574954053
0.24000000000000019,1976880.7514625646
0.2420000000000002,1976668.132668131
0.2440000000000002,1976457.0954149636
0.2460000000000002,1976247.2487143953
0.2480000000000002,1976038.1082696153
0.25000000000000017,1975829.2033130652
0.25200000000000017,1975620.2206970134
0.25400000000000017,1975410.6229665645
0.25600000000000017,1975200.0744156786
0.2580000000000002,1974988.1818360516
0.2600000000000002,1974774.5285308969
0.2620000000000002,1974558.6907486718
0.2640000000000002,1974341.266661394
0.2660000000000002,1974124.3781769697
0.2680000000000002,1973909.8289320266
0.2700000000000002,1973698.6626866502
0.2720000000000002,1973491.2977083703
0.2740000000000002,1973287.7364195753
0.2760000000000002,1973087.8218483368
0.2780000000000002,1972891.2762862858
0.2800000000000002,1972697.8240641174
0.2820000000000002,1972507.1963931946
0.2840000000000002,1972319.0835672296
0.2860000000000002,1972133.3899271605
0.2880000000000002,1971950.911340728
0.2900000000000002,1971772.3699602191
0.2920000000000002,1971597.8949976575
0.2940000000000002,1971427.357678136
0.2960000000000002,1971260.3170204088
0.2980000000000002,1971096.2833387752
0.3000000000000002,1970934.6527515324
0.3020000000000002,1970774.8793649485
0.3040000000000002,1970616.4512527771
0.3060000000000002,1970458.7319588948
0.3080000000000002,1970301.2837273027
0.3100000000000002,1970143.5156653405
0.3120000000000002,1969984.9712971712
0.3140000000000002,1969825.6065000833
0.3160000000000002,1969666.8367958178
0.3180000000000002,1969510.0493255507
0.32000000000000023,1969356.1171217773
0.32200000000000023,1969205.2792706867
0.32400000000000023,1969057.5139059876
0.32600000000000023,1968912.66066301
0.32800000000000024,1968770.4469365377
0.33000000000000024,1968630.604949222
0.33200000000000024,1968492.8747326261
0.33400000000000024,1968356.9558792154
0.33600000000000024,1968222.5842744855
0.33800000000000024,1968089.515559862
0.34000000000000025,1967957.419681073
0.34200000000000025,1967826.080151026
0.34400000000000025,1967695.2833615053
0.34600000000000025,1967564.7210932565
0.34800000000000025,1967434.2425953257
0.35000000000000026,1967303.5719507819
0.35200000000000026,1967172.4787663005
0.35400000000000026,1967040.7552718485
0.35600000000000026,1966908.1563631305
0.35800000000000026,1966774.5200327004
0.36000000000000026,1966639.6237309247
0.36200000000000027,1966503.268670293
0.36400000000000027,1966365.8868767004
0.36600000000000027,1966228.7395542886
0.36800000000000027,1966092.605932663
0.3700000000000003,1965958.0457134657
0.3720000000000003,1965825.167534425
0.3740000000000003,1965693.9397293981
0.3760000000000003,1965564.3075211823
0.3780000000000003,1965436.058965718
0.3800000000000003,1965309.0151985956
0.3820000000000003,1965183.0645541747
0.3840000000000003,1965058.0288974082
0.3860000000000003,1964933.7521549207
0.3880000000000003,1964810.041884645
0.3900000000000003,1964686.7895052477
0.3920000000000003,1964563.8267383256
0.3940000000000003,1964441.0094530461
0.3960000000000003,1964318.2058016856
0.3980000000000003,1964195.2903510735
0.4000000000000003,1964072.0930778873
0.4020000000000003,1963948.4751766352
0.4040000000000003,1963824.3613785086
0.4060000000000003,1963699.5583685196
0.4080000000000003,1963573.9690914715
0.4100000000000003,1963447.4908557255
0.4120000000000003,1963319.9903882414
0.4140000000000003,1963191.94344161
0.4160000000000003,1963064.172955973
0.4180000000000003,1962937.182626546
0.4200000000000003,1962811.229902011
0.4220000000000003,1962686.4946736898
0.4240000000000003,1962562.9019706266
0.4260000000000003,1962440.4050347318
0.4280000000000003,1962318.8730756398
0.4300000000000003,1962198.1413242721
0.43200000000000033,1962078.1791362108
0.43400000000000033,1961958.8208177104
0.43600000000000033,1961839.9890584853
0.43800000000000033,1961721.759577693
0.44000000000000034,1961604.3993243736
0.44200000000000034,1961487.9000199
0.44400000000000034,1961372.2909379546
0.44600000000000034,1961257.4588080654
0.44800000000000034,1961143.2252157072
0.45000000000000034,1961029.482723823
0.45200000000000035,1960916.1080635362
0.45400000000000035,1960802.8757166143
0.45600000000000035,1960689.664474033
0.45800000000000035,1960576.3520170234
0.46000000000000035,1960462.7676684833
0.46200000000000035,1960348.818908447
0.46400000000000036,1960234.680177494
0.46600000000000036,1960120.9874466036
0.46800000000000036,1960008.1732273414
0.47000000000000036,1959896.4024903087
0.47200000000000036,1959785.7643851854
0.47400000000000037,1959676.2450283782
0.47600000000000037,1959567.6824408844
0.47800000000000037,1959460.0451257157
0.48000000000000037,1959353.2146018406
0.4820000000000004,1959247.0840987368
0.4840000000000004,1959141.5060510652
0.4860000000000004,1959036.414101311
0.4880000000000004,1958931.6815765125
0.4900000000000004,1958827.2531467334
